StateAndCounty,State,StateAbbr,County,Population,HousingUnits,AreaInSqMiTotal,AreaInSqMiWater,AreaInSqMiLand,PopPerSqMiLand,HousingUnitsPerSqMiOfLand,LandWatchURL
CA-Glenn_County,California,CA,Glenn_County,28122,10778,1326.98,13.03,1313.95,21.4,8.2,https://www.landwatch.com/California_land_for_sale/Glenn_County/Land
CA-Fresno_County,California,CA,Fresno_County,930450,315531,6011.2,53.21,5957.99,156.2,53,https://www.landwatch.com/California_land_for_sale/Fresno_County/Land
CA-El_Dorado_County,California,CA,El_Dorado_County,181058,88159,1786.36,78.47,1707.88,106,51.6,https://www.landwatch.com/California_land_for_sale/El_Dorado_County/Land
CA-Del_Norte_County,California,CA,Del_Norte_County,28610,11186,1229.74,223.37,1006.37,28.4,11.1,https://www.landwatch.com/California_land_for_sale/Del_Norte_County/Land
CA-Contra_Costa_County,California,CA,Contra_Costa_County,1049025,400263,803.77,87.83,715.94,1465.2,559.1,https://www.landwatch.com/California_land_for_sale/Contra_Costa_County/Land
CA-Colusa_County,California,CA,Colusa_County,21419,7883,1156.36,5.63,1150.73,18.6,6.9,https://www.landwatch.com/California_land_for_sale/Colusa_County/Land
CA-Calaveras_County,California,CA,Calaveras_County,45578,27925,1036.93,16.92,1020.01,44.7,27.4,https://www.landwatch.com/California_land_for_sale/Calaveras_County/Land
CA-Butte_County,California,CA,Butte_County,220000,95835,1677.13,40.67,1636.46,134.4,58.6,https://www.landwatch.com/California_land_for_sale/Butte_County/Land
CA-Amador_County,California,CA,Amador_County,38091,18032,605.96,11.37,594.58,64.1,30.3,https://www.landwatch.com/California_land_for_sale/Amador_County/Land
CA-Alpine_County,California,CA,Alpine_County,1175,1760,743.18,4.85,738.33,1.6,2.4,https://www.landwatch.com/California_land_for_sale/Alpine_County/Land
CA-Alameda_County,California,CA,Alameda_County,1510271,582549,821.33,82.31,739.02,2043.6,788.3,https://www.landwatch.com/California_land_for_sale/Alameda_County/Land
CO-Yuma_County,Colorado,CO,Yuma_County,10043,4466,2368.7,4.3,2364.4,4.2,1.9,https://www.landwatch.com/Colorado_land_for_sale/Yuma_County/Land
CO-Weld_County,Colorado,CO,Weld_County,252825,96281,4016.8,29.56,3987.24,63.4,24.1,https://www.landwatch.com/Colorado_land_for_sale/Weld_County/Land
CO-Washington_County,Colorado,CO,Washington_County,4814,2434,2523.9,5.87,2518.03,1.9,1,https://www.landwatch.com/Colorado_land_for_sale/Washington_County/Land
CO-Teller_County,Colorado,CO,Teller_County,23350,12643,558.96,1.91,557.06,41.9,22.7,https://www.landwatch.com/Colorado_land_for_sale/Teller_County/Land
